sgRNA	Count
DIRC2_1_1	119
DIRC2_2_2	231
DIRC2_3_3	254
DIRC2_4_4	386
DIRC2_5_5	148
DIRC2_6_6	343
FLVCR1_1_7	137
FLVCR1_2_8	358
FLVCR1_3_9	277
FLVCR1_4_10	428
FLVCR1_5_11	765
FLVCR1_6_12	425
FLVCR2_10_22	418
FLVCR2_11_23	1259
FLVCR2_12_24	353
FLVCR2_1_13	837
FLVCR2_2_14	66
FLVCR2_3_15	330
FLVCR2_4_16	187
FLVCR2_5_17	280
FLVCR2_6_18	416
FLVCR2_7_19	769
FLVCR2_8_20	227
FLVCR2_9_21	627
MTCH1_1_25	260
MTCH1_2_26	279
MTCH1_3_27	156
MTCH1_4_28	542
MTCH1_5_29	529
MTCH1_6_30	428
MTCH2_1_31	169
MTCH2_2_32	546
MTCH2_3_33	325
MTCH2_4_34	696
MTCH2_5_35	202
MTCH2_6_36	295
SLC10A1_1_37	420
SLC10A1_2_38	521
SLC10A1_3_39	1431
SLC10A1_4_40	595
SLC10A1_5_41	423
SLC10A1_6_42	834
SLC10A2_1_43	445
SLC10A2_2_44	390
SLC10A2_3_45	539
SLC10A2_4_46	1133
SLC10A2_5_47	327
SLC10A2_6_48	739
SLC10A3_1_49	670
SLC10A3_2_50	325
SLC10A3_3_51	328
SLC10A3_4_52	327
SLC10A3_5_53	854
SLC10A3_6_54	707
SLC10A4_1_55	87
SLC10A4_2_56	118
SLC10A4_3_57	560
SLC10A4_4_58	209
SLC10A4_5_59	49
SLC10A4_6_60	856
SLC10A5_1_61	362
SLC10A5_2_62	774
SLC10A5_3_63	590
SLC10A5_4_64	404
SLC10A6_1_65	359
SLC10A6_2_66	290
SLC10A6_3_67	848
SLC10A6_4_68	676
SLC10A7_1_69	587
SLC10A7_2_70	400
SLC10A7_3_71	579
SLC10A7_4_72	365
SLC10A7_5_73	665
SLC10A7_6_74	346
SLC11A1_1_75	365
SLC11A1_2_76	652
SLC11A1_3_77	603
SLC11A1_4_78	334
SLC11A1_5_79	220
SLC11A1_6_80	379
SLC11A2_10_90	678
SLC11A2_11_91	335
SLC11A2_12_92	426
SLC11A2_13_93	378
SLC11A2_14_94	1026
SLC11A2_15_95	278
SLC11A2_16_96	892
SLC11A2_17_97	318
SLC11A2_18_98	333
SLC11A2_19_99	248
SLC11A2_1_81	378
SLC11A2_20_100	537
SLC11A2_21_101	474
SLC11A2_22_102	660
SLC11A2_23_103	288
SLC11A2_24_104	333
SLC11A2_25_105	557
SLC11A2_26_106	493
SLC11A2_27_107	933
SLC11A2_28_108	501
SLC11A2_29_109	298
SLC11A2_2_82	380
SLC11A2_30_110	327
SLC11A2_31_111	247
SLC11A2_32_112	558
SLC11A2_33_113	474
SLC11A2_34_114	696
SLC11A2_3_83	269
SLC11A2_4_84	522
SLC11A2_5_85	507
SLC11A2_6_86	655
SLC11A2_7_87	62
SLC11A2_8_88	354
SLC11A2_9_89	519
SLC12A1_1_115	309
SLC12A1_2_116	938
SLC12A1_3_117	451
SLC12A1_4_118	559
SLC12A1_5_119	872
SLC12A2_1_120	299
SLC12A2_2_121	536
SLC12A2_3_122	298
SLC12A2_4_123	166
SLC12A2_5_124	530
SLC12A2_6_125	501
SLC12A3_1_126	317
SLC12A3_2_127	797
SLC12A3_3_128	402
SLC12A3_4_129	604
SLC12A3_5_130	524
SLC12A3_6_131	423
SLC12A4_10_141	251
SLC12A4_11_142	750
SLC12A4_12_143	275
SLC12A4_13_144	481
SLC12A4_14_145	151
SLC12A4_15_146	348
SLC12A4_16_147	163
SLC12A4_17_148	254
SLC12A4_18_149	167
SLC12A4_19_150	795
SLC12A4_1_132	486
SLC12A4_20_151	414
SLC12A4_21_152	322
SLC12A4_22_153	679
SLC12A4_23_154	424
SLC12A4_24_155	673
SLC12A4_25_156	484
SLC12A4_26_157	130
SLC12A4_27_158	323
SLC12A4_28_159	194
SLC12A4_29_160	272
SLC12A4_2_133	155
SLC12A4_30_161	133
SLC12A4_3_134	307
SLC12A4_4_135	162
SLC12A4_5_136	259
SLC12A4_6_137	113
SLC12A4_7_138	460
SLC12A4_8_139	851
SLC12A4_9_140	365
SLC12A5_10_171	249
SLC12A5_11_172	407
SLC12A5_12_173	142
SLC12A5_1_162	159
SLC12A5_2_163	55
SLC12A5_3_164	588
SLC12A5_4_165	315
SLC12A5_5_166	240
SLC12A5_6_167	307
SLC12A5_7_168	247
SLC12A5_8_169	245
SLC12A5_9_170	17
SLC12A6_10_183	294
SLC12A6_11_184	360
SLC12A6_12_185	147
SLC12A6_13_186	200
SLC12A6_14_187	305
SLC12A6_15_188	550
SLC12A6_16_189	570
SLC12A6_17_190	243
SLC12A6_18_191	412
SLC12A6_19_192	394
SLC12A6_1_174	558
SLC12A6_20_193	893
SLC12A6_21_194	330
SLC12A6_22_195	667
SLC12A6_23_196	173
SLC12A6_24_197	255
SLC12A6_25_198	486
SLC12A6_26_199	78
SLC12A6_27_200	250
SLC12A6_28_201	398
SLC12A6_29_202	152
SLC12A6_2_175	1519
SLC12A6_3_176	468
SLC12A6_4_177	323
SLC12A6_5_178	368
SLC12A6_6_179	418
SLC12A6_7_180	296
SLC12A6_8_181	453
SLC12A6_9_182	83
SLC12A7_1_203	192
SLC12A7_2_204	249
SLC12A7_3_205	370
SLC12A7_4_206	248
SLC12A7_5_207	639
SLC12A7_6_208	316
SLC12A8_10_218	384
SLC12A8_11_219	655
SLC12A8_12_220	519
SLC12A8_1_209	402
SLC12A8_2_210	736
SLC12A8_3_211	356
SLC12A8_4_212	842
SLC12A8_5_213	480
SLC12A8_6_214	499
SLC12A8_7_215	122
SLC12A8_8_216	376
SLC12A8_9_217	309
SLC12A9_1_221	1074
SLC12A9_2_222	102
SLC12A9_3_223	217
SLC12A9_4_224	607
SLC12A9_5_225	349
SLC12A9_6_226	298
SLC13A1_1_227	246
SLC13A1_2_228	683
SLC13A1_3_229	648
SLC13A1_4_230	606
SLC13A1_5_231	626
SLC13A2_1_232	114
SLC13A2_2_233	397
SLC13A2_3_234	281
SLC13A2_4_235	633
SLC13A2_5_236	118
SLC13A2_6_237	1210
SLC13A3_10_247	575
SLC13A3_11_248	757
SLC13A3_12_249	1114
SLC13A3_13_250	1079
SLC13A3_14_251	272
SLC13A3_15_252	1323
SLC13A3_16_253	456
SLC13A3_17_254	364
SLC13A3_18_255	494
SLC13A3_19_256	669
SLC13A3_1_238	1086
SLC13A3_20_257	628
SLC13A3_21_258	613
SLC13A3_22_259	702
SLC13A3_23_260	582
SLC13A3_24_261	893
SLC13A3_2_239	246
SLC13A3_3_240	1554
SLC13A3_4_241	396
SLC13A3_5_242	377
SLC13A3_6_243	621
SLC13A3_7_244	627
SLC13A3_8_245	679
