sgRNA	Count
DIRC2_1_1	113
DIRC2_2_2	291
DIRC2_3_3	404
DIRC2_4_4	568
DIRC2_5_5	154
DIRC2_6_6	620
FLVCR1_1_7	284
FLVCR1_2_8	364
FLVCR1_3_9	377
FLVCR1_4_10	781
FLVCR1_5_11	869
FLVCR1_6_12	433
FLVCR2_10_22	537
FLVCR2_11_23	1370
FLVCR2_12_24	636
FLVCR2_1_13	1072
FLVCR2_2_14	78
FLVCR2_3_15	462
FLVCR2_4_16	244
FLVCR2_5_17	584
FLVCR2_6_18	430
FLVCR2_7_19	706
FLVCR2_8_20	290
FLVCR2_9_21	634
MTCH1_1_25	338
MTCH1_2_26	388
MTCH1_3_27	253
MTCH1_4_28	838
MTCH1_5_29	723
MTCH1_6_30	481
MTCH2_1_31	284
MTCH2_2_32	604
MTCH2_3_33	318
MTCH2_4_34	1081
MTCH2_5_35	308
MTCH2_6_36	439
SLC10A1_1_37	716
SLC10A1_2_38	437
SLC10A1_3_39	1539
SLC10A1_4_40	816
SLC10A1_5_41	553
SLC10A1_6_42	833
SLC10A2_1_43	593
SLC10A2_2_44	581
SLC10A2_3_45	0
SLC10A2_4_46	1279
SLC10A2_5_47	499
SLC10A2_6_48	902
SLC10A3_1_49	671
SLC10A3_2_50	451
SLC10A3_3_51	397
SLC10A3_4_52	283
SLC10A3_5_53	1173
SLC10A3_6_54	871
SLC10A4_1_55	123
SLC10A4_2_56	118
SLC10A4_3_57	659
SLC10A4_4_58	324
SLC10A4_5_59	74
SLC10A4_6_60	928
SLC10A5_1_61	296
SLC10A5_2_62	1001
SLC10A5_3_63	876
SLC10A5_4_64	665
SLC10A6_1_65	601
SLC10A6_2_66	433
SLC10A6_3_67	902
SLC10A6_4_68	684
SLC10A7_1_69	686
SLC10A7_2_70	557
SLC10A7_3_71	706
SLC10A7_4_72	391
SLC10A7_5_73	711
SLC10A7_6_74	386
SLC11A1_1_75	393
SLC11A1_2_76	879
SLC11A1_3_77	605
SLC11A1_4_78	355
SLC11A1_5_79	327
SLC11A1_6_80	550
SLC11A2_10_90	719
SLC11A2_11_91	451
SLC11A2_12_92	449
SLC11A2_13_93	358
SLC11A2_14_94	1007
SLC11A2_15_95	425
SLC11A2_16_96	1036
SLC11A2_17_97	449
SLC11A2_18_98	402
SLC11A2_19_99	437
SLC11A2_1_81	410
SLC11A2_20_100	534
SLC11A2_21_101	598
SLC11A2_22_102	731
SLC11A2_23_103	301
SLC11A2_24_104	436
SLC11A2_25_105	744
SLC11A2_26_106	736
SLC11A2_27_107	1087
SLC11A2_28_108	799
SLC11A2_29_109	430
SLC11A2_2_82	378
SLC11A2_30_110	370
SLC11A2_31_111	415
SLC11A2_32_112	605
SLC11A2_33_113	567
SLC11A2_34_114	707
SLC11A2_3_83	403
SLC11A2_4_84	603
SLC11A2_5_85	601
SLC11A2_6_86	713
SLC11A2_7_87	102
SLC11A2_8_88	485
SLC11A2_9_89	472
SLC12A1_1_115	389
SLC12A1_2_116	1090
SLC12A1_3_117	618
SLC12A1_4_118	900
SLC12A1_5_119	1009
SLC12A2_1_120	395
SLC12A2_2_121	621
SLC12A2_3_122	392
SLC12A2_4_123	270
SLC12A2_5_124	477
SLC12A2_6_125	618
SLC12A3_1_126	364
SLC12A3_2_127	899
SLC12A3_3_128	503
SLC12A3_4_129	690
SLC12A3_5_130	829
